data_series,data_series,avg,std
FreePhysicalMemorySize#PLAIN#JVM,NonHeapMemoryUsage.used#PLAIN#JVM,-0.9274485354093811,3.2495756277995237E-4
FreePhysicalMemorySize#PLAIN#JVM,CPU Idle Processes#PLAIN#CENTOS,-0.9159292212022084,0.001579735062384565
FreePhysicalMemorySize#PLAIN#JVM,ProcessCpuTime#PLAIN#JVM,-0.9244455026634383,6.886954689623633E-4
FreePhysicalMemorySize#PLAIN#JVM,Minor Page Faults#PLAIN#CENTOS,-0.9571233220434117,9.86927165511091E-5
FreePhysicalMemorySize#PLAIN#JVM,CPU Soft Interrupts#PLAIN#CENTOS,-0.9008268284710782,0.001170505653102914
FreePhysicalMemorySize#PLAIN#JVM,CPU User Processes#PLAIN#CENTOS,-0.9157198914630812,7.672470707776282E-4
FreePhysicalMemorySize#PLAIN#JVM,CurrentThreadUserTime#PLAIN#JVM,-0.9467677003504058,3.530794066245855E-4
FreePhysicalMemorySize#PLAIN#JVM,CPU Interrupts#PLAIN#CENTOS,-0.9219392240002015,0.0014870059461374863
FreePhysicalMemorySize#PLAIN#JVM,Active Memory#PLAIN#CENTOS,-0.952346540194884,4.7945289619300055E-5
FreePhysicalMemorySize#PLAIN#JVM,CPU Kernel Processes#PLAIN#CENTOS,-0.9448970179985582,2.0220145921379267E-4
FreePhysicalMemorySize#PLAIN#JVM,Free Virtual Pages#PLAIN#CENTOS,-0.9462033472201863,4.3349942229969646E-4
FreePhysicalMemorySize#PLAIN#JVM,CurrentThreadCpuTime#PLAIN#JVM,-0.9467553041661337,3.563547018522406E-4
FreePhysicalMemorySize#PLAIN#JVM,Free Memory#PLAIN#CENTOS,0.9952193842277325,8.149515644866234E-6
CPU I/O Wait Processes#PLAIN#CENTOS,NonHeapMemoryUsage.used#PLAIN#JVM,0.9321579612774048,8.360915149053796E-4
CPU I/O Wait Processes#PLAIN#CENTOS,CPU Idle Processes#PLAIN#CENTOS,0.957770757883413,5.990548282342841E-4
CPU I/O Wait Processes#PLAIN#CENTOS,ProcessCpuTime#PLAIN#JVM,0.9470961935300878,6.392600226033332E-4
CPU I/O Wait Processes#PLAIN#CENTOS,Minor Page Faults#PLAIN#CENTOS,0.9230426709091722,0.0014558148832523891
CPU I/O Wait Processes#PLAIN#CENTOS,PageOut#PLAIN#CENTOS,0.9285931523177003,0.0015359237715082618
CPU I/O Wait Processes#PLAIN#CENTOS,CPU Soft Interrupts#PLAIN#CENTOS,0.9201440042604077,0.0030904616402865183
CPU I/O Wait Processes#PLAIN#CENTOS,CPU User Processes#PLAIN#CENTOS,0.9135177467303816,0.0014576679712416058
CPU I/O Wait Processes#PLAIN#CENTOS,CurrentThreadUserTime#PLAIN#JVM,0.9516358993152838,7.148739592588881E-4
CPU I/O Wait Processes#PLAIN#CENTOS,CPU Interrupts#PLAIN#CENTOS,0.9552797761799824,2.018124920859391E-4
CPU I/O Wait Processes#PLAIN#CENTOS,Free Virtual Pages#PLAIN#CENTOS,0.93503202719136,0.0020362838681058774
CPU I/O Wait Processes#PLAIN#CENTOS,CurrentThreadCpuTime#PLAIN#JVM,0.9522010407690767,6.681338194902078E-4
NonHeapMemoryUsage.used#PLAIN#JVM,CPU Idle Processes#PLAIN#CENTOS,0.9543774512049426,2.7141407463947265E-4
NonHeapMemoryUsage.used#PLAIN#JVM,ProcessCpuTime#PLAIN#JVM,0.9909802227103383,1.3457433531158507E-6
NonHeapMemoryUsage.used#PLAIN#JVM,Minor Page Faults#PLAIN#CENTOS,0.9705566961715023,7.163012991434151E-5
NonHeapMemoryUsage.used#PLAIN#JVM,CPU Soft Interrupts#PLAIN#CENTOS,0.9189734768543997,7.442011715681778E-4
NonHeapMemoryUsage.used#PLAIN#JVM,CPU User Processes#PLAIN#CENTOS,0.9319805229148569,2.2778701026239184E-4
NonHeapMemoryUsage.used#PLAIN#JVM,CurrentThreadUserTime#PLAIN#JVM,0.9816599911072347,4.949508014256978E-6
NonHeapMemoryUsage.used#PLAIN#JVM,CPU Interrupts#PLAIN#CENTOS,0.9477985660485386,3.7095835386443196E-4
NonHeapMemoryUsage.used#PLAIN#JVM,Active Memory#PLAIN#CENTOS,0.9221199603992124,7.101809702745576E-4
NonHeapMemoryUsage.used#PLAIN#JVM,Free Virtual Pages#PLAIN#CENTOS,0.9521486575146232,2.955003187942137E-4
NonHeapMemoryUsage.used#PLAIN#JVM,CurrentThreadCpuTime#PLAIN#JVM,0.981700928761901,2.3464203950378963E-6
NonHeapMemoryUsage.used#PLAIN#JVM,Free Memory#PLAIN#CENTOS,-0.9279115042606417,2.532782585718796E-4
CPU Idle Processes#PLAIN#CENTOS,ProcessCpuTime#PLAIN#JVM,0.9787723525458973,7.869745136809173E-5
CPU Idle Processes#PLAIN#CENTOS,Minor Page Faults#PLAIN#CENTOS,0.9523205379659939,1.938126824350167E-4
CPU Idle Processes#PLAIN#CENTOS,CPU Soft Interrupts#PLAIN#CENTOS,0.9640514036750641,1.7986914944044936E-4
CPU Idle Processes#PLAIN#CENTOS,CPU User Processes#PLAIN#CENTOS,0.9553082672474208,9.122943621804361E-5
CPU Idle Processes#PLAIN#CENTOS,CurrentThreadUserTime#PLAIN#JVM,0.9756438640139079,1.2066729145390105E-4
CPU Idle Processes#PLAIN#CENTOS,CPU Interrupts#PLAIN#CENTOS,0.9840220534219727,7.276106637785582E-5
CPU Idle Processes#PLAIN#CENTOS,CPU Kernel Processes#PLAIN#CENTOS,0.9438660825760984,4.022138559155615E-5
CPU Idle Processes#PLAIN#CENTOS,Free Virtual Pages#PLAIN#CENTOS,0.9769820002782675,7.350481596363351E-5
CPU Idle Processes#PLAIN#CENTOS,CurrentThreadCpuTime#PLAIN#JVM,0.9791208309202595,1.0782896767952104E-4
CPU Idle Processes#PLAIN#CENTOS,Free Memory#PLAIN#CENTOS,-0.9133154524481881,0.0016253173146190715
Free Memory#DIFFERENCE#CENTOS,Active Memory#DIFFERENCE#CENTOS,-0.9269580917776657,8.493983999525622E-4
Inactive Memory#PLAIN#CENTOS,Cached Memory#PLAIN#CENTOS,0.9999863473130288,3.689736134644594E-10
Inactive Memory#PLAIN#CENTOS,Inactive Files#PLAIN#CENTOS,0.9999934537401712,2.4020134320267415E-10
Inactive Memory#PLAIN#CENTOS,CPU Kernel Processes#PLAIN#CENTOS,0.9465923083180512,1.739693267563159E-4
Inactive Memory#PLAIN#CENTOS,Active Files#PLAIN#CENTOS,0.9997125948709583,3.118573414147447E-9
Inactive Memory#PLAIN#CENTOS,Activated Virtual Pages#PLAIN#CENTOS,0.9995525833185129,4.267523379000561E-9
Cached Memory#PLAIN#CENTOS,Inactive Files#PLAIN#CENTOS,0.9999945675028391,1.587693942980264E-12
Cached Memory#PLAIN#CENTOS,CPU Kernel Processes#PLAIN#CENTOS,0.9477874872912478,1.7577738271822087E-4
Cached Memory#PLAIN#CENTOS,Active Files#PLAIN#CENTOS,0.9997947592354393,1.4743466993481583E-9
Cached Memory#PLAIN#CENTOS,Activated Virtual Pages#PLAIN#CENTOS,0.9996615977687151,3.574200231240775E-9
Inactive Memory#DIFFERENCE#CENTOS,Activated Virtual Pages#DIFFERENCE#CENTOS,0.9993344849237618,1.4261931285669445E-8
Inactive Memory#DIFFERENCE#CENTOS,Inactive Files#DIFFERENCE#CENTOS,0.9999363801169237,1.32497140731714E-8
Inactive Memory#DIFFERENCE#CENTOS,Cached Memory#DIFFERENCE#CENTOS,0.9998993156153988,1.1357893360117357E-8
Inactive Memory#DIFFERENCE#CENTOS,Active Files#DIFFERENCE#CENTOS,0.9987030294403121,1.9326848709006417E-7
Activated Virtual Pages#DIFFERENCE#CENTOS,Inactive Files#DIFFERENCE#CENTOS,0.9993914696193599,1.588191487652398E-8
Activated Virtual Pages#DIFFERENCE#CENTOS,Cached Memory#DIFFERENCE#CENTOS,0.9995041904835725,1.78205981646538E-8
Activated Virtual Pages#DIFFERENCE#CENTOS,Active Files#DIFFERENCE#CENTOS,0.9986285450467706,4.43612956770256E-7
Activated Virtual Pages#DIFFERENCE#CENTOS,CPU Kernel Processes#DIFFERENCE#CENTOS,0.902183147344841,0.0028548334917253694
ProcessCpuTime#PLAIN#JVM,Minor Page Faults#PLAIN#CENTOS,0.9722107934490645,1.4208579762357387E-4
ProcessCpuTime#PLAIN#JVM,CPU Soft Interrupts#PLAIN#CENTOS,0.947556259676884,3.7476424981608083E-4
ProcessCpuTime#PLAIN#JVM,CPU User Processes#PLAIN#CENTOS,0.9573917697161536,6.320469889389882E-5
ProcessCpuTime#PLAIN#JVM,CurrentThreadUserTime#PLAIN#JVM,0.9847005318092148,9.620219236563065E-6
ProcessCpuTime#PLAIN#JVM,CPU Interrupts#PLAIN#CENTOS,0.9731347957977586,1.438094420386531E-4
ProcessCpuTime#PLAIN#JVM,CPU Kernel Processes#PLAIN#CENTOS,0.9208090988734547,1.372911511122847E-4
ProcessCpuTime#PLAIN#JVM,Free Virtual Pages#PLAIN#CENTOS,0.9716990565573306,1.132493366146367E-4
ProcessCpuTime#PLAIN#JVM,CurrentThreadCpuTime#PLAIN#JVM,0.9866549255157044,2.7300592019420773E-6
ProcessCpuTime#PLAIN#JVM,Free Memory#PLAIN#CENTOS,-0.9234392762947355,6.73584046356906E-4
Minor Page Faults#PLAIN#CENTOS,CPU Soft Interrupts#PLAIN#CENTOS,0.9278753374393839,5.064571977232084E-4
Minor Page Faults#PLAIN#CENTOS,CPU User Processes#PLAIN#CENTOS,0.9396272017146368,9.72497632813657E-4
Minor Page Faults#PLAIN#CENTOS,CurrentThreadUserTime#PLAIN#JVM,0.9740260607021565,3.164609663687934E-5
Minor Page Faults#PLAIN#CENTOS,CPU Interrupts#PLAIN#CENTOS,0.948873587728187,5.042827112517262E-4
Minor Page Faults#PLAIN#CENTOS,Active Memory#PLAIN#CENTOS,0.9506841333689796,8.88804912469067E-4
Minor Page Faults#PLAIN#CENTOS,CPU Kernel Processes#PLAIN#CENTOS,0.9161491770573986,7.763727008762444E-4
Minor Page Faults#PLAIN#CENTOS,Free Virtual Pages#PLAIN#CENTOS,0.9745340742119353,6.621619915693116E-5
Minor Page Faults#PLAIN#CENTOS,CurrentThreadCpuTime#PLAIN#JVM,0.9753994792141887,1.4251222905982343E-5
Minor Page Faults#PLAIN#CENTOS,Free Memory#PLAIN#CENTOS,-0.9585960386309809,1.1803407620043587E-4
CPU Idle Processes#DIFFERENCE#CENTOS,CPU User Processes#DIFFERENCE#CENTOS,-0.9400707097256643,2.8203600699969866E-5
CPU Soft Interrupts#PLAIN#CENTOS,CPU User Processes#PLAIN#CENTOS,0.951022742962972,3.216514942542759E-4
CPU Soft Interrupts#PLAIN#CENTOS,CurrentThreadUserTime#PLAIN#JVM,0.9376239880934488,8.637822059747339E-4
CPU Soft Interrupts#PLAIN#CENTOS,CPU Interrupts#PLAIN#CENTOS,0.9635877135267265,2.613345281976162E-4
CPU Soft Interrupts#PLAIN#CENTOS,CPU Kernel Processes#PLAIN#CENTOS,0.9427152743248043,4.718505455949899E-4
CPU Soft Interrupts#PLAIN#CENTOS,Free Virtual Pages#PLAIN#CENTOS,0.9621251557292029,1.2005328310083054E-4
CPU Soft Interrupts#PLAIN#CENTOS,CurrentThreadCpuTime#PLAIN#JVM,0.9430403712295622,6.406511014734523E-4
Inactive Files#DIFFERENCE#CENTOS,Cached Memory#DIFFERENCE#CENTOS,0.9999411723293952,1.1724624316702844E-10
Inactive Files#DIFFERENCE#CENTOS,Active Files#DIFFERENCE#CENTOS,0.9987087033296967,2.0505701988122422E-7
CPU User Processes#PLAIN#CENTOS,CurrentThreadUserTime#PLAIN#JVM,0.9422306578234583,2.997048422425462E-4
CPU User Processes#PLAIN#CENTOS,CPU Interrupts#PLAIN#CENTOS,0.9814952592201879,1.8976864392950508E-4
CPU User Processes#PLAIN#CENTOS,CPU Kernel Processes#PLAIN#CENTOS,0.959514748897636,4.3537735564925546E-4
CPU User Processes#PLAIN#CENTOS,Free Virtual Pages#PLAIN#CENTOS,0.9703299015217681,1.8108180479568345E-4
CPU User Processes#PLAIN#CENTOS,CurrentThreadCpuTime#PLAIN#JVM,0.9481497889155696,2.3822164427031838E-4
CPU User Processes#PLAIN#CENTOS,Free Memory#PLAIN#CENTOS,-0.9149229339117382,7.598761734417199E-4
LoadedClassCount#PLAIN#JVM,Active Memory#PLAIN#CENTOS,0.93394763134515,6.503866447865116E-4
LoadedClassCount#PLAIN#JVM,TotalLoadedClassCount#PLAIN#JVM,0.9999083212278578,2.232124863660729E-12
CurrentThreadUserTime#PLAIN#JVM,CPU Interrupts#PLAIN#CENTOS,0.9642112844836568,3.416622296528704E-4
CurrentThreadUserTime#PLAIN#JVM,Active Memory#PLAIN#CENTOS,0.9250144327355677,8.057465729181917E-4
CurrentThreadUserTime#PLAIN#JVM,CPU Kernel Processes#PLAIN#CENTOS,0.9254662816660044,7.105920209950063E-5
CurrentThreadUserTime#PLAIN#JVM,Free Virtual Pages#PLAIN#CENTOS,0.964068520503764,3.097326430282183E-4
CurrentThreadUserTime#PLAIN#JVM,CurrentThreadCpuTime#PLAIN#JVM,0.9996115249807059,6.924661521189154E-8
CurrentThreadUserTime#PLAIN#JVM,Free Memory#PLAIN#CENTOS,-0.9464162943731914,3.353290337750339E-4
CPU Interrupts#PLAIN#CENTOS,CPU Kernel Processes#PLAIN#CENTOS,0.9595863217304135,5.0015879773824634E-5
CPU Interrupts#PLAIN#CENTOS,Free Virtual Pages#PLAIN#CENTOS,0.9780589134517627,8.395290529174563E-5
CPU Interrupts#PLAIN#CENTOS,CurrentThreadCpuTime#PLAIN#JVM,0.9686735941917898,2.9322717709401194E-4
CPU Interrupts#PLAIN#CENTOS,Free Memory#PLAIN#CENTOS,-0.9202924200892335,0.001533739058695721
Inactive Files#PLAIN#CENTOS,CPU Kernel Processes#PLAIN#CENTOS,0.9468912965379419,1.8019258831270373E-4
Inactive Files#PLAIN#CENTOS,Active Files#PLAIN#CENTOS,0.99973353275854,2.6270630748027923E-9
Inactive Files#PLAIN#CENTOS,Activated Virtual Pages#PLAIN#CENTOS,0.9995768822108417,5.589043733792225E-9
Cached Memory#DIFFERENCE#CENTOS,Active Files#DIFFERENCE#CENTOS,0.9987809094440399,3.101933393919807E-7
Active Memory#PLAIN#CENTOS,TotalLoadedClassCount#PLAIN#JVM,0.9336487906132177,6.622688196004352E-4
Active Memory#PLAIN#CENTOS,CurrentThreadCpuTime#PLAIN#JVM,0.9210777313427899,8.494311267297797E-4
Active Memory#PLAIN#CENTOS,Free Memory#PLAIN#CENTOS,-0.9579991688381176,9.716652110198984E-5
Active Files#DIFFERENCE#CENTOS,CPU Kernel Processes#DIFFERENCE#CENTOS,0.901741414355386,0.0027012384549741273
CPU Kernel Processes#PLAIN#CENTOS,Active Files#PLAIN#CENTOS,0.9534650913765164,1.5389640898027358E-4
CPU Kernel Processes#PLAIN#CENTOS,Free Virtual Pages#PLAIN#CENTOS,0.9653934083397001,1.3825796304287356E-4
CPU Kernel Processes#PLAIN#CENTOS,Activated Virtual Pages#PLAIN#CENTOS,0.9551403968461022,1.4693514950403003E-4
CPU Kernel Processes#PLAIN#CENTOS,CurrentThreadCpuTime#PLAIN#JVM,0.9309454244305162,7.934186922378306E-5
CPU Kernel Processes#PLAIN#CENTOS,Free Memory#PLAIN#CENTOS,-0.9458640687273286,2.6873079172889524E-4
Active Files#PLAIN#CENTOS,Activated Virtual Pages#PLAIN#CENTOS,0.9999456510245491,4.836977051386219E-10
Free Virtual Pages#PLAIN#CENTOS,CurrentThreadCpuTime#PLAIN#JVM,0.9686362052927286,1.9118141240765714E-4
Free Virtual Pages#PLAIN#CENTOS,Free Memory#PLAIN#CENTOS,-0.9456177900799263,4.952366357614519E-4
TotalLoadedClassCount#DIFFERENCE#JVM,LoadedClassCount#DIFFERENCE#JVM,0.9980899638191734,2.1309786996644728E-11
CurrentThreadCpuTime#PLAIN#JVM,Free Memory#PLAIN#CENTOS,-0.9463983549910618,3.3823608471899495E-4
